,Код,Наименование,Рекомендованная цена
282,2900001729819,1С:Зарплата и кадры государственного учреждения 8. Базовая версия. Электронная поставка,11200
283,4601546114006,1С:Зарплата и кадры государственного учреждения 8. Базовая версия. Коробочная поставка,12400
284,2900001729826,1С:Зарплата и кадры государственного учреждения 8 ПРОФ. Электронная поставка,37900
285,4601546113993,1С:Зарплата и кадры государственного учреждения 8. Коробочная поставка,37900
286,2900001892971,1С:Зарплата и кадры государственного учреждения 8 КОРП. Электронная поставка,183000
287,4601546132079,1С:Зарплата и кадры государственного учреждения 8 КОРП. Коробочная поставка,183000
288,2900002559675,1С:Зарплата и кадры государственного учреждения 8 КОРП. Лицензия для централизованно обслуживаемых учреждений. Электронная поставка,32400
289,2900002559682,1С:Зарплата и кадры государственного учреждения 8 КОРП для централизованно обслуживаемых учреждений. Дополнительная лицензия к версии ПРОФ. Электронная поставка.,2800
290,4601546092656,1С:Предприятие 8. Комплект прикладных решений на 5 пользователей. Коробочная поставка,67900
291,2900001850193,1С:Комплексная автоматизация 8. Электронная поставка,83000
292,4601546122445,1С:Комплексная автоматизация 8. Редакция 2. Коробочная поставка,83000
293,2900002153033,1С:Комплексная автоматизация для 10 пользователей + клиент-сервер (x86-64). Электронная поставка,221900
294,4601546142894,1С:Комплексная автоматизация для 10 пользователей + клиент-сервер (x86-64). Коробочная поставка,221900
295,2900001871419,1С:Корпорация. Электронная поставка,2804400
296,4601546129260,1С:Корпорация. Коробочная поставка,2804400
297,2900002088144,1С:Корпорация. Лицензия для дочерних обществ и филиалов. Электронная поставка,574600
298,2900003691343,1С:Корпорация. Расширенная электронная поставка,4100000
299,2900002088120,1С:Корпорация. Корпоративная электронная поставка,11860600
300,2900003691350,1С:Корпорация. Расширенная корпоративная электронная поставка,14100000
301,2900003691367,1С:Корпорация. Расширенная электронная поставка. Лицензия для дочерних обществ и филиалов,710000
302,2900002080964,1С:ERP. Управление холдингом. Корпоративная электронная поставка,11104100
303,2900001970198,1С:ERP. Управление холдингом. Электронная поставка,2667600
304,2900002080957,1С:ERP. Управление холдингом. Лицензия для дочерних обществ и филиалов. Электронная поставка,519900
305,2900001871327,1С:ERP Управление предприятием 2. Корпоративная поставка. Электронная поставка,3709600
306,4601546129192,1С:ERP Управление предприятием 2. Корпоративная поставка. Коробочная поставка,3709600
307,2900001871365,1С:Предприятие 8. ERP Управление предприятием 2. Электронная поставка,581400
308,4601546109118,1С:Предприятие 8. ERP Управление предприятием 2. Коробочная поставка,581400
309,2900001871358,1С:ERP Управление предприятием 2. Лицензия для дочерних обществ и филиалов. Электронная поставка,193800
310,4601546129208,1С:ERP Управление предприятием 2. Лицензия для дочерних обществ и филиалов. Коробочная поставка,193800
311,2900001871372,1С:Предприятие 8 ПРОФ. ERP Управление предприятием 2 + Документооборот КОРП. Сервер (x86-64). 50 клиентских лицензий. Электронная поставка,1032900
312,4601546131478,1С:Предприятие 8 ПРОФ. ERP Управление предприятием 2 + Документооборот КОРП. Сервер (x86-64). 50 клиентских лицензий. Коробочная поставка,1032900
313,2900002519884,1С:ERP WE. Электронная поставка,581400
314,2900001871396,1С:Управление холдингом 8. Корпоративная поставка. Электронная поставка,6019200
315,4601546126818,1С:Управление холдингом 8. Корпоративная поставка. Коробочная поставка,6019200
316,2900001871389,1С:Управление холдингом 8. Электронная поставка,1710000
317,4601546114570,1С:Управление холдингом 8. Коробочная поставка,1710000
318,2900001871402,1С:Управление холдингом 8. Лицензия для дочерних обществ и филиалов. Электронная поставка,266800
319,4601546114587,1С:Управление холдингом 8. Лицензия для дочерних обществ и филиалов. Коробочная поставка,266800
320,2900003498010,1С:Perform. Электронная поставка,1254000
321,2900001844284,1С:Бухгалтерия КОРП МСФО. Электронная поставка,57000
322,2900001844086,1С:Бухгалтерия КОРП МСФО. Коробочная поставка,57000
323,2900002009880,1С:Налоговый мониторинг. Электронная поставка,1231200
324,2900002120967,1С:Налоговый мониторинг. Лицензия для дочерних обществ и филиалов. Электронная поставка,239400
325,2900003702704,1С:MDM Управление мастер-данными КОРП. Электронная поставка,2000000
326,2900003702711,1С:MDM Управление мастер-данными КОРП. Дополнительная лицензия на 500 000 записей. Электронная поставка,2900000
327,2900003702728,1С:MDM Управление мастер-данными КОРП. Дополнительная лицензия на 1 000 000 записей. Электронная поставка,4900000
328,2900002634259,1С:Архив. Электронная поставка,102600
329,2900001850919,1С:Договоры 8. Базовая версия. Электронная поставка,5700
330,4601546124241,1С:Договоры 8. Базовая версия. Коробочная поставка,6600
331,2900001850926,1С:Договоры 8 ПРОФ. Электронная поставка,17600
332,4601546123947,1С:Договоры 8 ПРОФ. Коробочная поставка,17600
333,2900001850933,1С:Договоры 8 на 5 пользователей. Электронная поставка,35000
334,4601546124258,1С:Договоры 8 на 5 пользователей. Коробочная поставка,35000
335,2900001850292,1С:Document Management 8. Электронная поставка,403600
336,2900001850278,1С:Документооборот 8 ПРОФ. Электронная поставка,48500
337,4601546081117,1С:Документооборот 8 ПРОФ. Коробочная поставка,48500
338,2900001850285,1С:Документооборот 8 КОРП. Электронная поставка,251600
339,4601546085931,1С:Документооборот 8 КОРП. Коробочная поставка,251600
340,2900003671406,1С:Документооборот холдинга. Электронная поставка,1100000
341,2900003671420,1С:Документооборот холдинга. Корпоративная поставка. Электронная поставка,3850000
342,2900003671413,1С:Документооборот холдинга. Лицензия для дочерних обществ и филиалов. Электронная поставка,220000
343,2900001850346,1С:Документооборот государственного учреждения 8. Электронная поставка,158300
344,4601546099563,1С:Документооборот государственного учреждения 8. Коробочная поставка,158300
345,4601546137623,1С:Документооборот государственного учреждения КОРП. Регион. Коробочная поставка,2004400
346,2900001803892,1С:Учет обращений. Базовая версия. Электронная поставка,5700
347,2900001803915,1С:Учет обращений ПРОФ. Электронная поставка,17600
348,2900001803922,1С:Учет обращений на 5 пользователей. Электронная поставка,35000
349,2900002202557,1С:Электронное обучение. Конструктор курсов. Базовая версия. Электронная поставка,19000
350,2900003633893,1С:Электронное обучение. LMS Корпоративный университет+Веб-кабинет преподавателя и обучающегося. Электронная поставка,900000
351,2900003675299,1С:Электронное обучение. LMS Корпоративный университет+Веб-кабинет преподавателя и обучающегося (до 100 пользователей). Электронная поставка,200000
352,2900003675305,1С:Электронное обучение. LMS Корпоративный университет+Веб-кабинет преподавателя и обучающегося (до 300 пользователей). Электронная поставка,400000
353,2900002003895,1С:Электронное обучение. Корпоративный университет. Электронная поставка,400000
354,2900002137507,1С:Электронное обучение. Экзаменатор. Электронная поставка,200000
355,2900002550795,1С:Электронное обучение. Корпоративный университет+Веб-кабинет преподавателя и студента. Электронная поставка для образовательных организаций общего и профессионального образования,
356,2900002112566,1С:Корпоративный инструментальный пакет 8. Электронная поставка,135700
357,4601546046567,1С:Корпоративный инструментальный пакет 8. Коробочная поставка,135700
358,2900002488456,1С:Шина для 100 пользователей. Электронная поставка,134600
359,2900002488463,1С:Шина для 500 пользователей. Электронная поставка,269100
360,2900002488470,1С:Шина без ограничений на число пользователей. Электронная поставка,672600
361,2900003847856,1С:Предприятие.Элемент. Сервер для локального использования на 12 месяцев. Электронная поставка,75000
362,2900002107524,1С:Сервер взаимодействия. Электронная поставка,50400
363,2900003791999,1С:Предприятие 8. Система проектирования прикладных решений. Электронная поставка,9700
364,4601546107480,1С:Предприятие 8. Система проектирования прикладных решений. Коробочная поставка,9700
365,2900002165678,1С:Предприятие. Облачная подсистема Фреш. Электронная поставка,96900
366,4601546102546,1С:Предприятие. Облачная подсистема Фреш. Коробочная поставка,96900
367,2900002172386,1С:Предприятие 8.3. Технологическая электронная поставка,17600
368,4601546111548,1С:Предприятие 8.3. Технологическая поставка. Коробочная поставка,17600
369,4601546092632,1С:Предприятие 8.2. Технологическая поставка. Коробочная поставка,17600
370,4601546018328,1С:Предприятие. Технология создания внешних компонент. Коробочная поставка,900
371,4601546148605,Защищенный программный комплекс 1С:Предприятие 8.3z (x86-32). Исполнение 1. Коробочная поставка,24300
372,4601546148612,Защищенный программный комплекс 1С:Предприятие 8.3z (x86-64). Исполнение 1. Коробочная поставка,72800
373,4601546148629,Защищенный программный комплекс 1С:Предприятие 8.3z (x86-64). Исполнение 2. Коробочная поставка,600000
374,2900002446074,1С:Предприятие 8.3 NFR для 1 пользователя. Электронная поставка,
375,2900002446081,1С:Предприятие 8.3 NFR для 10 пользователей+клиент-сервер. Электронная поставка,
376,2900002470611,1С:Предприятие 8.3. NFR для 1000 пользователей + 4 клиент-сервера. Электронная поставка,
377,2900002202397,1С:Предприятие 8 NFR. Облачная подсистема Фреш. Электронная поставка,
378,2900002750560,1С:Корпоративный инструментальный пакет 8 NFR. Электронная поставка,
379,2900002488760,1С:Шина для 100 пользователей NFR. Электронная поставка,
380,2900002432343,1С:Бухгалтерия государственного учреждения 8 КОРП. NFR. Электронная поставка,
381,2900002597325,1С:Свод отчетов 8 NFR. Электронная поставка,
382,2900003001739,1С:Бюджет поселения 8.NFR для одного пользователя. Электронная поставка,
383,2900003001722,1С:Бюджет муниципального образования 8. NFR. Электронная поставка,
384,2900003002200,1С:Государственные и муниципальные закупки 8. NFR Электронная поставка,
385,2900003001746,Закупки. Дополнение к 1С:Бухгалтерия государственного учреждения 8. Дополнение к NFR. Электронная поставка,
386,2900001971454,1С:ERP. Управление холдингом. NFR. Электронная поставка,
387,2900002145953,1С:ERP Управление предприятием 2 NFR. Электронная поставка,
388,2900002097528,1C:ERP WE NFR. Электронная поставка,
389,2900002145960,1С:Управление холдингом 8 NFR. Электронная поставка,
390,2900003671437,1С:Документооборот холдинга NFR. Электронная поставка,
391,2900003706818,1С:MDM Управление мастер-данными КОРП NFR. Электронная поставка,
392,2900003499321,1C:Perform NFR. Электронная поставка,
393,2900002009897,1С:Налоговый мониторинг NFR. Электронная поставка,
394,2900002655216,1С:Архив. Дополнение к NFR. Электронная поставка,
395,2900001965606,1С:Бухгалтерия некоммерческой организации 8. Дополнение к NFR. Электронная поставка,
396,2900002088359,1С:Бухгалтерия некоммерческой организации 8 КОРП. Дополнение к NFR. Электронная поставка,
397,2900002752250,1С:Бухгалтерия КОРП МСФО NFR. Электронная поставка,
398,2900002406160,1С:Гаражи. Дополнение к NFR. Электронная поставка,
399,2900002016192,1С:Садовод. Дополнение к NFR. Электронная поставка,
400,2900002003901,1С:Электронное обучение. Корпоративный университет. NFR. Электронная поставка,
401,2900002137521,1С:Электронное обучение. Экзаменатор. NFR. Электронная поставка,
402,2900002164008,1С:Электронное обучение. Веб-кабинет преподавателя и студента. NFR. Электронная поставка,
403,2900002162424,1С:Предприятие 8. Комплект разработчика. Электронная поставка,630
404,2900002483956,1C:Предприятие 8. Комплект специалиста по разработке и внедрению. Электронная поставка,4000
405,2900002137415,1С:Предприятие 8. Комплект для обучения в высших и средних учебных заведениях. Электронная поставка,
406,2900002137880,1С:Предприятие 8. Обновление комплекта для вузов. Электронная поставка,
407,4601546065100,1С:Предприятие 8. Экспортно-технологическая поставка (USB),285000
423,4601546122209,1С:Предприятие 8. Клиентская лицензия на 1 рабочее место. Электронная поставка для Армении,7700
424,4601546122216,1С:Предприятие 8. Клиентская лицензия на 5 рабочих мест. Электронная поставка для Армении,26200
425,4601546122223,1С:Предприятие 8. Клиентская лицензия на 10 рабочих мест. Электронная поставка для Армении,50200
426,4601546122230,1С:Предприятие 8. Клиентская лицензия на 20 рабочих мест. Электронная поставка для Армении,94400
427,2900001849494,1С:Предприятие 8. Клиентская лицензия на 50 рабочих мест. Электронная поставка для Армении,226600
428,2900001849500,1С:Предприятие 8. Клиентская лицензия на 100 рабочих мест. Электронная поставка для Армении,435600
429,2900001849562,1С:Предприятие 8.3. Сервер МИНИ на 5 подключений. Электронная поставка для Армении,17500
430,2900001849579,1С:Предприятие 8.3. Лицензия на сервер. Электронная поставка для Армении,61100
431,2900001849586,1С:Предприятие 8.3. Лицензия на сервер (x86-64). Электронная поставка для Армении,104700
572,4601546116697,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 1 рабочее место. Электронная поставка,7700
573,4601546117588,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 5 рабочих мест. Электронная поставка,26200
574,4601546117595,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 10 рабочих мест. Электронная поставка,50200
575,2900001833547,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 20 рабочих мест. Электронная поставка,94400
576,2900001833554,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 50 рабочих мест. Электронная поставка,226600
577,2900001847209,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 100 рабочих мест. Электронная поставка,435600
578,2900002133608,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 300 рабочих мест. Электронная поставка,1292300
579,2900002133615,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 500 рабочих мест. Электронная поставка,2149000
580,4601546080875,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 1 рабочее место. Коробочная поставка,7700
581,4601546080882,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 5 рабочих мест. Коробочная поставка,26200
582,4601546080899,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 10 рабочих мест. Коробочная поставка,50200
583,4601546080905,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 20 рабочих мест. Коробочная поставка,94400
584,4601546080912,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 50 рабочих мест. Коробочная поставка,226600
585,4601546080929,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 100 рабочих мест. Коробочная поставка,435600
586,4601546080936,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 300 рабочих мест. Коробочная поставка,1292300
